record_type,metric,value,atom1_index,atom1_name,atom2_index,atom2_name,direct_length_A,minimum_image_length_A,flags
summary,MEMB49_atom_count,134,,,,,,,ok
summary,MEMB49_bond_count_from_psf,133,,,,,,,ok
summary,abnormal_short_or_long_bond_count,0,,,,,,,ok
summary,MEMB49_ligand_min_distance_A,25.9557,,,,,,,ok
summary,MEMB49_vs_original_apo_heavy_RMSD_A,nan,,,,,,,not_available
summary,MEMB49_vs_original_apo_mapped_heavy_atom_count,0,,,,,,,not_available
summary,apo_to_stage4_translation_A,no_common_atoms,,,,,,,ok
summary,MEMB49_centroid_A,"5.7411,-390.1579,10.8268",,,,,,,ok
summary,MEMB49_min_box_boundary_margin_A,5.74105,,,,,,,ok
summary,MEMB49_has_nan_coords,False,,,,,,,ok
bond,,,6984,N,6988,C13,1.48865,1.48865,ok
bond,,,6984,N,6992,C14,1.47566,1.47566,ok
bond,,,6984,N,6996,C15,1.48156,1.48156,ok
bond,,,6984,N,6985,C12,1.50085,1.50085,ok
bond,,,6985,C12,6986,H12A,1.08013,1.08013,ok
bond,,,6985,C12,6987,H12B,1.07954,1.07954,ok
bond,,,6985,C12,7000,C11,1.52683,1.52683,ok
bond,,,6988,C13,6989,H13A,1.07941,1.07941,ok
bond,,,6988,C13,6990,H13B,1.08008,1.08008,ok
bond,,,6988,C13,6991,H13C,1.07987,1.07987,ok
bond,,,6992,C14,6993,H14A,1.08023,1.08023,ok
bond,,,6992,C14,6994,H14B,1.08018,1.08018,ok
bond,,,6992,C14,6995,H14C,1.07975,1.07975,ok
bond,,,6996,C15,6997,H15A,1.08003,1.08003,ok
bond,,,6996,C15,6998,H15B,1.08042,1.08042,ok
bond,,,6996,C15,6999,H15C,1.07926,1.07926,ok
bond,,,7000,C11,7001,H11A,1.11022,1.11022,ok
bond,,,7000,C11,7002,H11B,1.11114,1.11114,ok
bond,,,7000,C11,7006,O12,1.41158,1.41158,ok
bond,,,7003,P,7007,O11,1.57409,1.57409,ok
bond,,,7003,P,7004,O13,1.45196,1.45196,ok
bond,,,7003,P,7005,O14,1.44399,1.44399,ok
bond,,,7003,P,7006,O12,1.55931,1.55931,ok
bond,,,7007,O11,7008,C1,1.43443,1.43443,ok
bond,,,7008,C1,7009,HA,1.11075,1.11075,ok
bond,,,7008,C1,7010,HB,1.11105,1.11105,ok
bond,,,7008,C1,7011,C2,1.5606,1.5606,ok
bond,,,7011,C2,7012,HS,1.11159,1.11159,ok
bond,,,7011,C2,7019,C3,1.61411,1.61411,ok
bond,,,7011,C2,7013,O21,1.42349,1.42349,ok
bond,,,7013,O21,7014,C21,1.3001,1.3001,ok
bond,,,7014,C21,7016,C22,1.49884,1.49884,ok
bond,,,7014,C21,7015,O22,1.22038,1.22038,ok
bond,,,7016,C22,7017,H2R,1.11092,1.11092,ok
bond,,,7016,C22,7018,H2S,1.11126,1.11126,ok
bond,,,7016,C22,7028,C23,1.53183,1.53183,ok
bond,,,7019,C3,7020,HX,1.11124,1.11124,ok
bond,,,7019,C3,7021,HY,1.11153,1.11153,ok
bond,,,7019,C3,7022,O31,1.50745,1.50745,ok
bond,,,7022,O31,7023,C31,1.44908,1.44908,ok
bond,,,7023,C31,7025,C32,1.7,1.7,ok
bond,,,7023,C31,7024,O32,1.21992,1.21992,ok
bond,,,7025,C32,7026,H2X,1.1114,1.1114,ok
bond,,,7025,C32,7027,H2Y,1.1112,1.1112,ok
bond,,,7025,C32,7075,C33,1.77377,1.77377,ok
bond,,,7028,C23,7029,H3R,1.11169,1.11169,ok
bond,,,7028,C23,7030,H3S,1.11152,1.11152,ok
bond,,,7028,C23,7031,C24,1.51074,1.51074,ok
bond,,,7031,C24,7032,H4R,1.11123,1.11123,ok
bond,,,7031,C24,7033,H4S,1.1116,1.1116,ok
bond,,,7031,C24,7034,C25,1.51172,1.51172,ok
bond,,,7034,C25,7035,H5R,1.11106,1.11106,ok
bond,,,7034,C25,7036,H5S,1.11077,1.11077,ok
bond,,,7034,C25,7037,C26,1.50587,1.50587,ok
bond,,,7037,C26,7038,H6R,1.10996,1.10996,ok
bond,,,7037,C26,7039,H6S,1.11135,1.11135,ok
bond,,,7037,C26,7040,C27,1.51762,1.51762,ok
bond,,,7040,C27,7041,H7R,1.11068,1.11068,ok
bond,,,7040,C27,7042,H7S,1.11129,1.11129,ok
bond,,,7040,C27,7043,C28,1.51951,1.51951,ok
bond,,,7043,C28,7044,H8R,1.11081,1.11081,ok
bond,,,7043,C28,7045,H8S,1.11017,1.11017,ok
bond,,,7043,C28,7046,C29,1.49998,1.49998,ok
bond,,,7046,C29,7047,H91,1.10059,1.10059,ok
bond,,,7046,C29,7048,C210,1.32648,1.32648,ok
bond,,,7048,C210,7049,H101,1.10025,1.10025,ok
bond,,,7048,C210,7050,C211,1.49178,1.49178,ok
bond,,,7050,C211,7051,H11R,1.11107,1.11107,ok
bond,,,7050,C211,7052,H11S,1.11088,1.11088,ok
bond,,,7050,C211,7053,C212,1.54771,1.54771,ok
bond,,,7053,C212,7054,H12R,1.11149,1.11149,ok
bond,,,7053,C212,7055,H12S,1.11101,1.11101,ok
bond,,,7053,C212,7056,C213,1.53315,1.53315,ok
bond,,,7056,C213,7057,H13R,1.11126,1.11126,ok
bond,,,7056,C213,7058,H13S,1.11147,1.11147,ok
bond,,,7056,C213,7059,C214,1.52749,1.52749,ok
bond,,,7059,C214,7060,H14R,1.11107,1.11107,ok
bond,,,7059,C214,7061,H14S,1.11085,1.11085,ok
bond,,,7059,C214,7062,C215,1.50389,1.50389,ok
bond,,,7062,C215,7063,H15R,1.11082,1.11082,ok
bond,,,7062,C215,7064,H15S,1.11013,1.11013,ok
bond,,,7062,C215,7065,C216,1.51176,1.51176,ok
bond,,,7065,C216,7066,H16R,1.11152,1.11152,ok
bond,,,7065,C216,7067,H16S,1.1119,1.1119,ok
bond,,,7065,C216,7068,C217,1.53864,1.53864,ok
bond,,,7068,C217,7069,H17R,1.11126,1.11126,ok
bond,,,7068,C217,7070,H17S,1.11125,1.11125,ok
bond,,,7068,C217,7071,C218,1.53039,1.53039,ok
bond,,,7071,C218,7072,H18R,1.11069,1.11069,ok
bond,,,7071,C218,7073,H18S,1.11111,1.11111,ok
bond,,,7071,C218,7074,H18T,1.11114,1.11114,ok
bond,,,7075,C33,7076,H3X,1.11058,1.11058,ok
bond,,,7075,C33,7077,H3Y,1.11132,1.11132,ok
bond,,,7075,C33,7078,C34,1.76252,1.76252,ok
bond,,,7078,C34,7079,H4X,1.11193,1.11193,ok
bond,,,7078,C34,7080,H4Y,1.11115,1.11115,ok
bond,,,7078,C34,7081,C35,1.78374,1.78374,ok
bond,,,7081,C35,7082,H5X,1.11103,1.11103,ok
bond,,,7081,C35,7083,H5Y,1.11117,1.11117,ok
bond,,,7081,C35,7084,C36,1.76542,1.76542,ok
bond,,,7084,C36,7085,H6X,1.11013,1.11013,ok
bond,,,7084,C36,7086,H6Y,1.11074,1.11074,ok
bond,,,7084,C36,7087,C37,1.72371,1.72371,ok
bond,,,7087,C37,7088,H7X,1.11145,1.11145,ok
bond,,,7087,C37,7089,H7Y,1.1115,1.1115,ok
bond,,,7087,C37,7090,C38,1.70137,1.70137,ok
bond,,,7090,C38,7091,H8X,1.11036,1.11036,ok
bond,,,7090,C38,7092,H8Y,1.11111,1.11111,ok
bond,,,7090,C38,7093,C39,1.6663,1.6663,ok
bond,,,7093,C39,7094,H9X,1.11142,1.11142,ok
bond,,,7093,C39,7095,H9Y,1.11162,1.11162,ok
bond,,,7093,C39,7096,C310,1.62313,1.62313,ok
bond,,,7096,C310,7097,H10X,1.11073,1.11073,ok
bond,,,7096,C310,7098,H10Y,1.11166,1.11166,ok
bond,,,7096,C310,7099,C311,1.58679,1.58679,ok
bond,,,7099,C311,7100,H11X,1.11072,1.11072,ok
bond,,,7099,C311,7101,H11Y,1.11188,1.11188,ok
bond,,,7099,C311,7102,C312,1.5847,1.5847,ok
bond,,,7102,C312,7103,H12X,1.1119,1.1119,ok
bond,,,7102,C312,7104,H12Y,1.10983,1.10983,ok
bond,,,7102,C312,7105,C313,1.55727,1.55727,ok
bond,,,7105,C313,7106,H13X,1.11128,1.11128,ok
bond,,,7105,C313,7107,H13Y,1.11024,1.11024,ok
bond,,,7105,C313,7108,C314,1.55417,1.55417,ok
bond,,,7108,C314,7109,H14X,1.11128,1.11128,ok
bond,,,7108,C314,7110,H14Y,1.11054,1.11054,ok
bond,,,7108,C314,7111,C315,1.54462,1.54462,ok
bond,,,7111,C315,7112,H15X,1.11119,1.11119,ok
bond,,,7111,C315,7113,H15Y,1.1111,1.1111,ok
bond,,,7111,C315,7114,C316,1.53053,1.53053,ok
bond,,,7114,C316,7115,H16X,1.11061,1.11061,ok
bond,,,7114,C316,7116,H16Y,1.11139,1.11139,ok
bond,,,7114,C316,7117,H16Z,1.11122,1.11122,ok
